study_hours,attendance,previous_score,sleep_hours,final_score
4.75,70.05,76.35,6.94,89.0
3.79,73.28,51.17,6.03,72.09
4.97,88.97,78.04,6.53,94.83
6.28,87.32,85.33,8.03,100.0
3.65,79.75,71.2,6.73,83.44
3.65,81.41,93.15,6.56,91.24
6.37,95.33,53.39,4.87,88.16
5.15,72.9,46.33,7.4,77.98
3.3,86.57,38.32,7.27,65.43
4.81,77.57,87.44,9.1,100.0
3.3,77.39,74.82,6.13,75.03
3.3,93.19,64.17,6.76,78.94
4.36,89.9,69.2,6.8,85.12
1.13,89.76,48.12,8.39,72.0
1.41,95.67,100.0,6.39,84.08
3.16,80.25,66.94,6.83,85.77
2.48,88.18,66.64,7.23,75.25
4.47,76.28,75.89,6.72,89.47
2.64,83.89,72.22,5.96,74.21
1.88,78.44,68.36,6.73,83.77
6.2,81.16,53.14,7.79,85.63
3.66,87.14,72.07,5.27,84.77
4.1,70.18,93.23,6.66,93.84
1.86,100.0,85.18,5.66,84.69
3.18,67.93,88.9,7.93,84.99
4.17,65.43,57.33,4.67,73.61
2.27,93.9,50.16,5.83,71.36
4.56,89.5,63.11,6.95,86.98
3.1,87.49,65.84,8.38,87.8
3.56,87.54,81.41,6.42,98.88
3.1,79.85,39.61,5.83,65.28
6.78,69.23,87.94,8.76,98.27
3.98,80.91,62.63,4.76,78.75
2.41,71.87,58.6,3.86,79.24
5.23,91.7,49.82,7.03,83.05
2.17,78.24,40.18,5.9,71.51
4.31,70.09,77.35,5.27,92.46
1.06,76.14,66.1,7.35,65.73
2.01,84.96,45.65,6.79,70.29
4.3,73.24,45.57,5.82,82.61
5.11,70.13,59.96,4.96,79.61
4.26,82.92,90.04,7.55,93.83
3.83,82.94,61.11,7.28,79.27
3.55,73.92,42.45,6.38,65.58
1.78,74.35,61.31,8.72,68.79
2.92,82.78,60.91,5.22,68.32
3.31,62.62,24.55,4.67,57.97
5.59,63.11,64.19,5.67,80.83
4.52,71.38,61.54,6.45,82.8
1.36,77.44,75.44,6.79,64.95
4.49,83.73,92.73,6.21,96.79
3.42,97.7,81.9,6.92,94.75
2.98,90.29,60.97,5.0,66.36
4.92,78.08,48.4,8.23,85.27
5.55,79.77,100.0,6.4,100.0
5.4,67.97,65.89,7.84,82.75
2.74,79.78,65.21,6.91,85.2
3.54,76.54,64.64,7.05,82.11
4.5,83.87,67.97,7.18,84.49
5.46,70.07,62.83,7.04,87.1
3.28,86.23,56.4,7.27,81.4
3.72,98.39,56.8,8.09,85.61
2.34,78.69,64.51,6.74,76.75
2.21,84.82,56.85,7.35,68.55
5.22,88.28,54.31,6.39,87.61
6.03,75.19,66.6,8.23,87.55
3.89,82.69,61.18,5.69,79.52
5.51,80.15,87.56,8.66,96.68
4.54,81.17,25.24,6.45,67.84
3.03,70.72,81.37,4.78,84.68
4.54,80.29,83.69,6.65,97.51
6.31,85.98,33.9,5.68,86.46
3.95,97.41,59.86,7.51,80.84
6.35,91.51,59.43,5.72,92.41
0.07,100.0,43.89,5.96,65.72
5.23,70.79,53.33,4.23,79.59
4.13,90.47,48.34,5.96,90.72
3.55,82.2,91.28,3.59,87.61
4.14,100.0,79.04,4.6,91.21
1.02,70.3,84.07,7.41,71.67
3.67,69.92,75.83,7.44,84.2
4.54,72.81,48.06,7.01,77.46
